date,label
1892,Congo–Arab War
1894,Peruvian Civil War of 1894–1895
1895,Cuban War of Independence
1902,Thousand Days' War
1904,Herero Wars
1911,Dominican Civil War of 1911–12
1912,Balkan Wars
1915,National Protection War
1917,Ukrainian War of Independence
1918,Finnish Civil War
1918,World War I
1918,Estonian War of Independence
1919,Irish War of Independence
1922,Irish Civil War
1922,Turkish War of Independence
1926,Nicaraguan Civil War of 1926–1927
1929,Central Plains War
1934,Austrian Civil War
1939,Spanish Civil War
1940,1947–1948 Civil War in Mandatory Palestine
1941,Italian declaration of war on the United States
1945,World War II
1946,Cold War
1946,Chinese Civil War
1947,Paraguayan Civil War of 1947
1948,Costa Rican Civil War
1954,Algerian War
1964,Dirty War
1965,Chadian Civil War of 1965–1979
1970,Nigerian Civil War
1974,Ethiopian Civil War
1974,Eritrean Civil Wars
1975,Angolan Civil War
1979,Rhodesian Bush War
1980,Ugandan Bush War
1983,Sri Lankan civil war
1986,South Yemen civil war
1986,Suriname Guerrilla War
1989,First Liberian Civil War
1990,Rwandan Civil War
1991,Georgian Civil War of 1991-1993
1992,Algerian Civil War
1992,Salvadoran Civil War
1992,Mozambican Civil War
1993,Burundi Civil War
1997,Tajikistani Civil War
1997,Iraqi Kurdish Civil War
1998,Bissau-Guinean Civil War
1999,Second Liberian Civil War
1999,Republica oficina the Congo Civil War
2000,Guerrilla phase of the Second Chechen War
2005,Second Sudanese Civil War
2006,Iraqi Civil War of 2006–2008
2006,Nepalese Civil War
2009,Somali Civil War 2009-present
2012,Mali War
2014,Yemeni civil war
