date,label,Decade,Continent
1892,Congo–Arab War,1890,Africa
1894,Peruvian Civil War of 1894–1895,1890,South America
1895,Cuban War of Independence,1890,North America
1902,Thousand Days' War,1900,South America
1904,Herero Wars,1900,Africa
1911,Dominican Civil War of 1911–12,1910,North America
1912,Balkan Wars,1910,Europe
1915,National Protection War,1910,Asia
1917,Ukrainian War of Independence,1910,Europe
1918,Finnish Civil War,1910,Europe
1918,World War I,1910,World
1918,Estonian War of Independence,1910,Europe
1919,Irish War of Independence,1910,Europe
1922,Irish Civil War,1920,Europe
1922,Turkish War of Independence,1920,Asia
1926,Nicaraguan Civil War of 1926–1927,1920,North America
1929,Central Plains War,1920,Asia
1934,Austrian Civil War,1930,Europe
1939,Spanish Civil War,1930,Europe
1940,1947–1948 Civil War in Mandatory Palestine,1940,Asia
1941,Italian declaration of war on the United States,1940,North America
1945,World War II,1940,World
1946,Cold War,1940,World
1946,Chinese Civil War,1940,Asia
1947,Paraguayan Civil War of 1947,1940,South America
1948,Costa Rican Civil War,1940,North America
1954,Algerian War,1950,Africa
1964,Dirty War,1960,North America
1965,Chadian Civil War of 1965–1979,1960,Africa
1970,Nigerian Civil War,1970,Africa
1974,Ethiopian Civil War,1970,Africa
1974,Eritrean Civil Wars,1970,Africa
1975,Angolan Civil War,1970,Africa
1979,Rhodesian Bush War,1970,Africa
1980,Ugandan Bush War,1980,Africa
1983,Sri Lankan civil war,1980,Asia
1986,South Yemen civil war,1980,Asia
1986,Suriname Guerrilla War,1980,South America
1989,First Liberian Civil War,1980,Africa
1990,Rwandan Civil War,1990,Africa
1991,Georgian Civil War of 1991-1993,1990,North America
1992,Algerian Civil War,1990,Africa
1992,Salvadoran Civil War,1990,North America
1992,Mozambican Civil War,1990,Africa
1993,Burundi Civil War,1990,Africa
1997,Tajikistani Civil War,1990,Asia
1997,Iraqi Kurdish Civil War,1990,Asia
1998,Bissau-Guinean Civil War,1990,Africa
1999,Second Liberian Civil War,1990,Africa
1999,Republica oficina the Congo Civil War,1990,Africa
2000,Guerrilla phase of the Second Chechen War,2000,Asia
2005,Second Sudanese Civil War,2000,Africa
2006,Iraqi Civil War of 2006–2008,2000,Asia
2006,Nepalese Civil War,2000,Asia
2009,Somali Civil War 2009-present,2000,Africa
2012,Mali War,2010,Africa
2014,Yemeni civil war,2010,Asia
